CAS Number;Chemical_Name;Chemical Grade;Chemical Analysis;Chemical Purity Mean Op;Chemical Purity Mean(%);Chemical Purity Min Op;Chemical Purity Min(%);Chemical Purity Max Op;Chemical Purity Max(%);Species Scientific Name;Species Common Name;Species Group;Organism Lifestage;Organism Age Mean Op;Organism Age Mean;Organism Age Min Op;Organism Age Min;Organism Age Max Op;Organism Age Max;Age Units;Exposure Type;Media Type;Test Location;Number of Doses;Conc 1 Type (Standardized);Conc 1 Mean Op (Standardized);Conc_1_Mean_(Standardized);Conc 1 Min Op (Standardized);Conc Min 1 (Standardized);Conc 1 Max Op (Standardized);Conc 1 Max (Standardized);Conc 1 Units (Standardized);Conc 2 Type (Standardized);Conc 2 Mean Op (Standardized);Conc 2 Mean (Standardized);Conc 2 Min Op (Standardized);Conc Min 2 (Standardized);Conc 2 Max Op (Standardized);Conc 2 Max (Standardized);Conc 2 Units (Standardized);Conc 3 Type (Standardized);Conc 3 Mean Op (Standardized);Conc 3 Mean (Standardized);Conc 3 Min Op (Standardized);Conc Min 3 (Standardized);Conc 3 Max Op (Standardized);Conc 3 Max (Standardized);Conc 3 Units (Standardized);Effect;Effect Measurement;Endpoint;Response Site;Observed Duration Mean Op (Days);Observed Duration Mean (Days);Observed Duration Min Op (Days);Observed Duration Min (Days);Observed Duration Max Op (Days);Observed Duration Max (Days);Observed Duration Units (Days);BCF 1 Value Op;BCF 1 Value;BCF 1 Min Op;BCF 1 Min;BCF 1 Max Op;BCF 1 Max;BCF 1 Unit;BCF 2 Value Op;BCF 2 Value;BCF 2 Min Op;BCF 2 Min;BCF 2 Max Op;BCF 2 Max;BCF 2 Unit;BCF 3 Value Op;BCF 3 Value;BCF 3 Min Op;BCF 3 Min;BCF 3 Max Op;BCF 3 Max;BCF 3 Unit;Author;Reference Number;Title;Source;Publication Year
58899;(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane;;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;;Formulation;;1.9;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1.0833;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Crosby,D.G., R.K. Tucker, and N. Aharonson;7984;The Detection of Acute Toxicity with Daphnia magna;Food Cosmet. Toxicol.4:503-514;1966
58899;(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane;Technical grade, technical product, technical formulation;Unmeasured;;100;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Active ingredient;;0.516;;0.48;;0.551;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Randall,W.F., W.H. Dennis, and M.C. Warner;2076;Acute Toxicity of Dechlorinated DDT, Chlordane and Lindane to Bluegill (Lepomis macrochirus) and Daphnia magna;Bull. Environ. Contam. Toxicol.21(6): 849-854;1979
58899;(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane;Analytical grade;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;72;;;;;Hour(s);Static;Fresh water;Lab;;Active ingredient;;;;3.5;;10;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;0.25;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Devillers,J., T. Meunier, and P. Chambon;17456;Usefulness of the Dosage-Effect-Time Relation in Ecotoxicology for the Determination of Different Chemical Classes of Toxicants (Interet de la Relation Dose-Effet-Temps en Ecotoxicologie pour la Determination des Differ;Tech. Sci. Munic.80:329-334;1985
58899;(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane;Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Neonate;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Active ingredient;;1.99;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Janssen,C.R., E.Q. Espiritu, and G. Persoone;16601;"Evaluation of the New ""Enzymatic Inhibition"" Criterion for Rapid Toxicity Testing with Daphnia magna";In: A.Soares and P.Calow (Eds.), Progress in Standardization of Aquatic Toxicity Tests, Lewis Publ.:71-81;1993
58899;(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane;;;;25;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;1;;;;;Instar;Static;Fresh water;Lab;;Formulation;;6.3;;4.8;;8.4;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;U.S. Environmental Protection Agency;344;Pesticide Ecotoxicity Database (Formerly: Environmental Effects Database (EEDB));Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:;1992
58899;(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane;Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Neonate;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Active ingredient;;14.54158;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Lilius,H., B. Isomaa, and T. Holmstrom;16756;A Comparison of the Toxicity of 50 Reference Chemicals to Freshly Isolated Rainbow Trout Hepatocytes and Daphnia magna;Aquat. Toxicol.30:47-60;1994
58899;(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane;;Measured;;;;;;;Lepomis macrochirus;Bluegill;"Fish; Standard Test Species";;;;;;;;;;Fresh water;Lab;;Active ingredient;;0.053;;;;;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Cope,O.B.;10337;Contamination of the Freshwater Ecosystem by Pesticides;J. Appl. Ecol.3:33-44;1966
58899;(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane;;Measured;;;;;;;Oncorhynchus mykiss;Rainbow Trout;"Fish; Standard Test Species; U.S. Threatened and Endangered Species";;;;;;;;;;Fresh water;Lab;;Active ingredient;;0.022;;;;;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Cope,O.B.;10337;Contamination of the Freshwater Ecosystem by Pesticides;J. Appl. Ecol.3:33-44;1966
58899;(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane;;Measured;;;;;;;Pteronarcys californica;Stonefly;Insects/Spiders;Nymph;;;;;;;;;Fresh water;Lab;;Active ingredient;;0.002;;;;;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Cope,O.B.;10337;Contamination of the Freshwater Ecosystem by Pesticides;J. Appl. Ecol.3:33-44;1966
58899;(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane;;Unmeasured;;;;;;;Aedes aegypti;Yellow Fever Mosquito;"Insects/Spiders; Standard Test Species";Larva;;4;;;;;Instar;Static;Fresh water;Lab;;Formulation;;0.028;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Shamaan,N.A., R. Hamidah, J. Jeffries, A.J. Hashim, and W.Z. Wan Ngah;6867;Insecticide Toxicity, Glutathione Transferases and Carboxylesterase Activities in the Larva of the Aedes Mosquito;Comp. Biochem. Physiol. C Comp. Pharmacol.104(1): 107-110;1993
58899;(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane;;Measured;;95;;;;;Chironomus riparius;Midge;"Insects/Spiders; Standard Test Species";Instar;;4;;;;;Instar;Static;Fresh water;Lab;;Active ingredient;;0.0036;;0.0031;;0.004;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Estenik,J.F., and W.J. Collins;6830;In Vivo and In Vitro Studies of Mixed-Function Oxidase in an Aquatic Insect, Chironomus riparius;ACS Symp. Ser.99:349-370;1979
58899;(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane;Analytical grade;Unmeasured;;98;;;;;Chironomus riparius;Midge;"Insects/Spiders; Standard Test Species";Larva;;4;;;;;Instar;Static;Fresh water;Lab;;Active ingredient;;0.024;;0.0186;;0.0273;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Lydy,M.J., K.A. Bruner, D.M. Fry, and S.W. Fisher;18935;Effects of Sediment and the Route of Exposure on the Toxicity and Accumulation of Neutral Lipophilic and Moderately Water-Soluble Metabolizable Compounds in the Midge, Chironomus riparius;ASTM Spec. Tech. Publ.13:140-164;1990
58899;(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane;Analytical grade;Unmeasured;;98;;;;;Chironomus riparius;Midge;"Insects/Spiders; Standard Test Species";Larva;;4;;;;;Instar;Static;Fresh water;Lab;;Active ingredient;;0.0066;;0.0061;;0.0071;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Lydy,M.J., K.A. Bruner, D.M. Fry, and S.W. Fisher;18935;Effects of Sediment and the Route of Exposure on the Toxicity and Accumulation of Neutral Lipophilic and Moderately Water-Soluble Metabolizable Compounds in the Midge, Chironomus riparius;ASTM Spec. Tech. Publ.13:140-164;1990
58899;(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane;;Unmeasured;;;;;;;Aedes aegypti;Yellow Fever Mosquito;"Insects/Spiders; Standard Test Species";Larva;;4;;;;;Instar;Static;Fresh water;Lab;;Formulation;;0.2;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Shamaan,N.A., R. Hamidah, J. Jeffries, A.J. Hashim, and W.Z. Wan Ngah;6867;Insecticide Toxicity, Glutathione Transferases and Carboxylesterase Activities in the Larva of the Aedes Mosquito;Comp. Biochem. Physiol. C Comp. Pharmacol.104(1): 107-110;1993
58899;(1alpha,2alpha,3beta,4alpha,5alpha,6beta)-1,2,3,4,5,6-Hexachlorocyclohexane;Analytical grade;Unmeasured;;98;;;;;Chironomus riparius;Midge;"Insects/Spiders; Standard Test Species";Larva;;4;;;;;Instar;Static;Fresh water;Lab;;Active ingredient;;0.022;;0.0139;;0.0321;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Lydy,M.J., K.A. Bruner, D.M. Fry, and S.W. Fisher;18935;Effects of Sediment and the Route of Exposure on the Toxicity and Accumulation of Neutral Lipophilic and Moderately Water-Soluble Metabolizable Compounds in the Midge, Chironomus riparius;ASTM Spec. Tech. Publ.13:140-164;1990
58902;2,3,4,6-Tetrachlorophenol;Analytical grade;Chemical analysis reported;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Active ingredient;;8.8;;8;;9.8;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Mortality;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Trapido,M., Y. Veressinina, and R. Munter;65394;A Study of the Toxicity of the Ozonation Products of Phenols and Chlorophenols by Daphnia magna Test;Proc. Estonian Acad. Sci.46(3): 130-139;1997
58902;2,3,4,6-Tetrachlorophenol;;Unmeasured;;;;;;;Daphnia pulex;Water Flea;"Crustaceans; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;;Formulation;;1.4;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Shigeoka,T., T. Yamagata, T. Minoda, and F. Yamauchi;753;Acute Toxicity and Hatching Inhibition of Chlorophenols to Japanese Medaka, Oryzias latipes and Structure-Activity Relationships;Jpn. J. Toxicol. Environ. Health34(4): 343-349;1988
58902;2,3,4,6-Tetrachlorophenol;;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;;Formulation;;1.6;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Shigeoka,T., T. Yamagata, T. Minoda, and F. Yamauchi;753;Acute Toxicity and Hatching Inhibition of Chlorophenols to Japanese Medaka, Oryzias latipes and Structure-Activity Relationships;Jpn. J. Toxicol. Environ. Health34(4): 343-349;1988
58902;2,3,4,6-Tetrachlorophenol;;Unmeasured;;;;;;;Oryzias latipes;Japanese Medaka;"Fish; Standard Test Species";;;;;;;;;Static;Fresh water;Lab;;Formulation;;0.76;;0.31;;1.3;AI mg/L;;;;;;;;;;;;;;;;;Mortality;Hatch;EC50;;;15;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Shigeoka,T., T. Yamagata, T. Minoda, and F. Yamauchi;753;Acute Toxicity and Hatching Inhibition of Chlorophenols to Japanese Medaka, Oryzias latipes and Structure-Activity Relationships;Jpn. J. Toxicol. Environ. Health34(4): 343-349;1988
59063;Ethopabate;;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;1;;;;;Day(s);Static;Fresh water;Lab;;Formulation;;170;;157;;184;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Canton,J.H., and G.V. Van Esch;843;The Short-Term Toxicity of Some Feed Additives to Different Freshwater Organisms;Bull. Environ. Contam. Toxicol.15(6): 720-725;1976
59063;Ethopabate;;Unmeasured;;;;;;;Poecilia reticulata;Guppy;"Fish; Standard Test Species";;;3;;;;;Week(s);Static;Fresh water;Lab;;Formulation;;105;;90;;125;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Canton,J.H., and G.V. Van Esch;843;The Short-Term Toxicity of Some Feed Additives to Different Freshwater Organisms;Bull. Environ. Contam. Toxicol.15(6): 720-725;1976
59405;4-Amino-N-2-quinoxalinylbenzenesulfonamide;;Unmeasured;>=;95;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Juvenile;<;24;;;;;Hour(s);Aquatic - not reported;Fresh water;Lab;;Active ingredient;;131;;119;;143;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;De Liguoro,M., B. Fioretto, C. Poltronieri, and G. Gallina;116894;The Toxicity of Sulfamethazine to Daphnia magna and Its Additivity to Other Veterinary Sulfonamides and Trimethoprim;Chemosphere75(11): 1519-1524;2009
59507;4-Chloro-3-methylphenol;Analytical grade;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;72;;;;;Hour(s);Static;Fresh water;Lab;;Active ingredient;;;;3.5;;10;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;0.25;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Devillers,J., T. Meunier, and P. Chambon;17456;Usefulness of the Dosage-Effect-Time Relation in Ecotoxicology for the Determination of Different Chemical Classes of Toxicants (Interet de la Relation Dose-Effet-Temps en Ecotoxicologie pour la Determination des Differ;Tech. Sci. Munic.80:329-334;1985
59507;4-Chloro-3-methylphenol;;Unmeasured;;99;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;24;;;;;Hour(s);Static;Fresh water;Lab;;Active ingredient;;2.78;;2.32;;3.33;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Ramos,E.U., C. Vermeer, W.H.J. Vaes, and J.L.M. Hermens;19263;Acute Toxicity of Polar Narcotics to Three Aquatic Species (Daphnia magna, Poecilia reticulata and Lymnaea stagnalis) and Its Relation to Hydrophobicity;Chemosphere37(4): 633-650;1998
59507;4-Chloro-3-methylphenol;Analytical grade;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;72;;;;;Hour(s);Static;Fresh water;Lab;;Active ingredient;;;;3.5;;10;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;0.0833;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Devillers,J., T. Meunier, and P. Chambon;17456;Usefulness of the Dosage-Effect-Time Relation in Ecotoxicology for the Determination of Different Chemical Classes of Toxicants (Interet de la Relation Dose-Effet-Temps en Ecotoxicologie pour la Determination des Differ;Tech. Sci. Munic.80:329-334;1985
59507;4-Chloro-3-methylphenol;Analytical grade;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;72;;;;;Hour(s);Static;Fresh water;Lab;;Active ingredient;;;;3.5;;10;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Devillers,J., T. Meunier, and P. Chambon;17456;Usefulness of the Dosage-Effect-Time Relation in Ecotoxicology for the Determination of Different Chemical Classes of Toxicants (Interet de la Relation Dose-Effet-Temps en Ecotoxicologie pour la Determination des Differ;Tech. Sci. Munic.80:329-334;1985
59507;4-Chloro-3-methylphenol;;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<=;24;;;;;Hour(s);Static;Fresh water;Lab;;Formulation;;4.4;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Kuhn,R., M. Pattard, K.D. Pernak, and A. Winter;847;Results of the Harmful Effects of Water Pollutants to Daphnia magna in the 21 Day Reproduction Test;Water Res.23(4): 501-510;1989
59507;4-Chloro-3-methylphenol;;Unmeasured;;99;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;24;;;;;Hour(s);Static;Fresh water;Lab;;Active ingredient;;1.5;;1.13;;1.94;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Ramos,E.U., C. Vermeer, W.H.J. Vaes, and J.L.M. Hermens;19263;Acute Toxicity of Polar Narcotics to Three Aquatic Species (Daphnia magna, Poecilia reticulata and Lymnaea stagnalis) and Its Relation to Hydrophobicity;Chemosphere37(4): 633-650;1998
59507;4-Chloro-3-methylphenol;Analytical grade;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;72;;;;;Hour(s);Static;Fresh water;Lab;;Active ingredient;;;;3.5;;10;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;0.1667;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Devillers,J., T. Meunier, and P. Chambon;17456;Usefulness of the Dosage-Effect-Time Relation in Ecotoxicology for the Determination of Different Chemical Classes of Toxicants (Interet de la Relation Dose-Effet-Temps en Ecotoxicologie pour la Determination des Differ;Tech. Sci. Munic.80:329-334;1985
59507;4-Chloro-3-methylphenol;;;;99.9;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Active ingredient;;2.3;;1.73;;2.67;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;U.S. Environmental Protection Agency;344;Pesticide Ecotoxicity Database (Formerly: Environmental Effects Database (EEDB));Environmental Fate and Effects Division, U.S.EPA, Washington, D.C.:;1992
59870;2-((5-Nitro-2-furanyl)methylene)hydrazine carboxamide;;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;12;;;;;Hour(s);Static;Fresh water;Lab;;Formulation;;40.04;;34.31;;46.73;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Macri,A., and E. Sbardella;11214;Toxicological Evaluation of Nitrofurazone and Furaltadone on Selenastrum capricornutum, Daphnia magna, and Musca domestica;Ecotoxicol. Environ. Saf.8(2): 101-105;1984
59870;2-((5-Nitro-2-furanyl)methylene)hydrazine carboxamide;;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;12;;;;;Hour(s);Static;Fresh water;Lab;;Formulation;;28.67;;25.31;;32.47;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Macri,A., and E. Sbardella;11214;Toxicological Evaluation of Nitrofurazone and Furaltadone on Selenastrum capricornutum, Daphnia magna, and Musca domestica;Ecotoxicol. Environ. Saf.8(2): 101-105;1984
60004;N,N'-1,2-Ethanediylbis[N-(carboxymethyl)glycine;Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Neonate;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Active ingredient;;122;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Janssen,C.R., E.Q. Espiritu, and G. Persoone;16601;"Evaluation of the New ""Enzymatic Inhibition"" Criterion for Rapid Toxicity Testing with Daphnia magna";In: A.Soares and P.Calow (Eds.), Progress in Standardization of Aquatic Toxicity Tests, Lewis Publ.:71-81;1993
60004;N,N'-1,2-Ethanediylbis[N-(carboxymethyl)glycine;Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Neonate;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Active ingredient;;113;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Janssen,C.R., E.Q. Espiritu, and G. Persoone;16601;"Evaluation of the New ""Enzymatic Inhibition"" Criterion for Rapid Toxicity Testing with Daphnia magna";In: A.Soares and P.Calow (Eds.), Progress in Standardization of Aquatic Toxicity Tests, Lewis Publ.:71-81;1993
60139;(+-)-alpha-Methylbenzeneethanamine sulfate (2:1);Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Neonate;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Active ingredient;;38.2583136;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Lilius,H., B. Isomaa, and T. Holmstrom;16756;A Comparison of the Toxicity of 50 Reference Chemicals to Freshly Isolated Rainbow Trout Hepatocytes and Daphnia magna;Aquat. Toxicol.30:47-60;1994
60139;(+-)-alpha-Methylbenzeneethanamine sulfate (2:1);;Unmeasured;;;>;97;>;99;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;;;;;;;;Fresh water;Lab;;Active ingredient;;171.2292816;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Calleja,M.C., G. Persoone, and P. Geladi;13669;Comparative Acute Toxicity of the First 50 Multicentre Evaluation of In Vitro Cytotoxicity Chemicals to Aquatic Non-Vertebrates;Arch. Environ. Contam. Toxicol.26(1): 69-78;1994
60297;Ethoxyethane;Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Carassius auratus;Goldfish;"Fish; Standard Test Species";;~;5;;;;;Month(s);Static;Fresh water;Lab;;Active ingredient;;1850;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;;;0.0226;;0.042;Day(s);;;;;;;--;;;;;;;;;;;;;;;Cherkin,A., and J.F. Catchpool;20598;Temperature Dependence of Anesthesia in Golfish;Science144:1460-1462;1964
60297;Ethoxyethane;Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Carassius auratus;Goldfish;"Fish; Standard Test Species";;~;5;;;;;Month(s);Static;Fresh water;Lab;;Active ingredient;;2160;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;;;0.0226;;0.042;Day(s);;;;;;;--;;;;;;;;;;;;;;;Cherkin,A., and J.F. Catchpool;20598;Temperature Dependence of Anesthesia in Golfish;Science144:1460-1462;1964
60297;Ethoxyethane;Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Carassius auratus;Goldfish;"Fish; Standard Test Species";;~;5;;;;;Month(s);Static;Fresh water;Lab;;Active ingredient;;2540;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;;;0.0226;;0.042;Day(s);;;;;;;--;;;;;;;;;;;;;;;Cherkin,A., and J.F. Catchpool;20598;Temperature Dependence of Anesthesia in Golfish;Science144:1460-1462;1964
60297;Ethoxyethane;Reagent Grade, Purissium, Purum, Puriss, Puris, Reinst;Unmeasured;;;;;;;Carassius auratus;Goldfish;"Fish; Standard Test Species";;~;5;;;;;Month(s);Static;Fresh water;Lab;;Active ingredient;;2560;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;;;0.0226;;0.042;Day(s);;;;;;;--;;;;;;;;;;;;;;;Cherkin,A., and J.F. Catchpool;20598;Temperature Dependence of Anesthesia in Golfish;Science144:1460-1462;1964
60515;O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl]phosphorodithioic acid ester;;Unmeasured;;10;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Neonate;<;24;;;;;Hour(s);Renewal;Fresh water;Lab;;Formulation;;0.15;;0.1;;0.21;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;23;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Beusen,J.M., and B. Neven;600;Toxicity of Dimethoate to Daphnia magna and Freshwater Fish;Bull. Environ. Contam. Toxicol.42(1): 126-133;1989
