CAS Number;Chemical_Name;Chemical Grade;Chemical Analysis;Chemical Purity Mean Op;Chemical Purity Mean(%);Chemical Purity Min Op;Chemical Purity Min(%);Chemical Purity Max Op;Chemical Purity Max(%);Species Scientific Name;Species Common Name;Species Group;Organism Lifestage;Organism Age Mean Op;Organism Age Mean;Organism Age Min Op;Organism Age Min;Organism Age Max Op;Organism Age Max;Age Units;Exposure Type;Media Type;Test Location;Number of Doses;Conc 1 Type (Standardized);Conc 1 Mean Op (Standardized);Conc_1_Mean_(Standardized);Conc 1 Min Op (Standardized);Conc Min 1 (Standardized);Conc 1 Max Op (Standardized);Conc 1 Max (Standardized);Conc 1 Units (Standardized);Conc 2 Type (Standardized);Conc 2 Mean Op (Standardized);Conc 2 Mean (Standardized);Conc 2 Min Op (Standardized);Conc Min 2 (Standardized);Conc 2 Max Op (Standardized);Conc 2 Max (Standardized);Conc 2 Units (Standardized);Conc 3 Type (Standardized);Conc 3 Mean Op (Standardized);Conc 3 Mean (Standardized);Conc 3 Min Op (Standardized);Conc Min 3 (Standardized);Conc 3 Max Op (Standardized);Conc 3 Max (Standardized);Conc 3 Units (Standardized);Effect;Effect Measurement;Endpoint;Response Site;Observed Duration Mean Op (Days);Observed Duration Mean (Days);Observed Duration Min Op (Days);Observed Duration Min (Days);Observed Duration Max Op (Days);Observed Duration Max (Days);Observed Duration Units (Days);BCF 1 Value Op;BCF 1 Value;BCF 1 Min Op;BCF 1 Min;BCF 1 Max Op;BCF 1 Max;BCF 1 Unit;BCF 2 Value Op;BCF 2 Value;BCF 2 Min Op;BCF 2 Min;BCF 2 Max Op;BCF 2 Max;BCF 2 Unit;BCF 3 Value Op;BCF 3 Value;BCF 3 Min Op;BCF 3 Min;BCF 3 Max Op;BCF 3 Max;BCF 3 Unit;Author;Reference Number;Title;Source;Publication Year
50000;Formaldehyde;;Unmeasured;;37;;;;;Daphnia pulex;Water Flea;"Crustaceans; Standard Test Species";Neonate;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Formulation;;5.8;;4.3;;7.8;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Tisler,T., and J. Zagorc-Koncan;18459;Comparative Assessment of Toxicity of Phenol, Formaldehyde, and Industrial Wastewater to Aquatic Organisms;Water Air Soil Pollut.97(3/4): 315-322;1997
50022;11beta,16alpha-9-Fluoro-11,17,21-Trihydroxy-16-methyl-pregna-1,4-diene-3,20-dione;;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Juvenile;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Formulation;;48.3;;39.91;;58.45;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;DellaGreca,M., A. Fiorentino, M. Isidori, M. Lavorgna, L. Previtera, M. Rubino, and F. Temussi;72566;Toxicity of Prednisolone, Dexamethasone and Their Photochemical Derivatives on Aquatic Organisms;Chemosphere54(5): 629-637;2004
50066;5-Ethyl-5-phenyl-2,4,6(1H,3H,5H)-pyrimidinetrione;;Unmeasured;;;>;97;>;99;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;;;;;;;;Fresh water;Lab;;Active ingredient;;1463.10507;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Calleja,M.C., G. Persoone, and P. Geladi;13669;Comparative Acute Toxicity of the First 50 Multicentre Evaluation of In Vitro Cytotoxicity Chemicals to Aquatic Non-Vertebrates;Arch. Environ. Contam. Toxicol.26(1): 69-78;1994
50282;(17beta)Estra-1,3,5(10)triene-3,17-diol;;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Neonate;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Formulation;;2.87;;2.67;;3.07;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Brennan,S.J., C.A. Brougham, J.J. Roche, and A.M. Fogarty;84441;Multi-Generational Effects of Four Selected Environmental Oestrogens on Daphnia magna;Chemosphere64:49-55;2006
50282;(17beta)Estra-1,3,5(10)triene-3,17-diol;;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Neonate;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Formulation;;3.67;;3.46;;3.88;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Brennan,S.J., C.A. Brougham, J.J. Roche, and A.M. Fogarty;84441;Multi-Generational Effects of Four Selected Environmental Oestrogens on Daphnia magna;Chemosphere64:49-55;2006
50293;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Juvenile;;;;6;;24;Hour(s);Static;Fresh water;Lab;;Formulation;;0.071;;0.041;;0.13;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Berglind,R., and G. Dave;10871;Acute Toxicity of Chromate, DDT, PCP, TPBS, and Zinc to Daphnia magna Cultured in Hard and Soft Water;Bull. Environ. Contam. Toxicol.33(1): 63-68;1984
50293;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];Technical grade, technical product, technical formulation;Unmeasured;;99;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Juvenile;<;24;;;;;Hour(s);Static;Fresh water;Lab;;Active ingredient;;0.00151;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Stratton,G.W., and J. Giles;2554;Importance of Bioassay Volume in Toxicity Tests Using Algae and Aquatic Invertebrates;Bull. Environ. Contam. Toxicol.44(2): 420-427;1990
50293;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];;Measured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";;;;;;;;;;Fresh water;Lab;;Active ingredient;;0.009;;;;;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Bazin,C., P. Chambon, M. Bonnefille, and G. Larbaigt;9196;Compared Sensitivity of Luminescent Marine Bacteria (Photobacterium phosphoreum) and Daphnia Bioassays (Comparaison des Sensibilites du Test de Luminescence Bacerienne (Photobacterium phosphoreum) et du Test Daphnie (Da;Rev. Fr. Sci. Eau6:403-413;1987
50293;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];;;;99;;;;;Daphnia pulex;Water Flea;"Crustaceans; Standard Test Species";Larva;;1;;;;;Instar;Static;Fresh water;Lab;;Active ingredient;;0.00036;;0.00028;;0.00047;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;2;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Mayer,F.L.,Jr., and M.R. Ellersieck;6797;Manual of Acute Toxicity: Interpretation and Data Base for 410 Chemicals and 66 Species of Freshwater Animals;USDI Fish and Wildlife Service, Publication No.160, Washington, DC:505 p.;1986
50293;1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene];;Unmeasured;;;;;;;Daphnia magna;Water Flea;"Crustaceans; Standard Test Species";Juvenile;;;;6;;24;Hour(s);Static;Fresh water;Lab;;Formulation;;0.0013;;0.0011;;0.0015;AI mg/L;;;;;;;;;;;;;;;;;Intoxication;Immobile;EC50;;;1;;;;;Day(s);;;;;;;--;;;;;;;;;;;;;;;Berglind,R., and G. Dave;10871;Acute Toxicity of Chromate, DDT, PCP, TPBS, and Zinc to Daphnia magna Cultured in Hard and Soft Water;Bull. Environ. Contam. Toxicol.33(1): 63-68;1984
