CAS Number;Chemical Name;Species Scientific Name;Species Common Name;Species Kingdom;Species Phylum;Species Sub Phylum;Species Superclass;Species Class;Species Order;Species Family;Species Genus;Species;Variety;Species Group;Organism Lifestage;Organism Age Mean Op;Organism Age Mean;Organism Age Min Op;Organism Age Min;Organism Age Max Op;Organism Age Max;Age Units;Exposure Type;Conc 1 Type (Standardized);Conc 1 Mean Op (Standardized);Conc 1 Mean (Standardized);Conc 1 Min Op (Standardized);Conc Min 1 (Standardized);Conc 1 Max Op (Standardized);Conc 1 Max (Standardized);Conc 1 Units (Standardized);Conc 2 Type (Standardized);Conc 2 Mean Op (Standardized);Conc 2 Mean (Standardized);Conc 2 Min Op (Standardized);Conc Min 2 (Standardized);Conc 2 Max Op (Standardized);Conc 2 Max (Standardized);Conc 2 Units (Standardized);Conc 3 Type (Standardized);Conc 3 Mean Op (Standardized);Conc 3 Mean (Standardized);Conc 3 Min Op (Standardized);Conc Min 3 (Standardized);Conc 3 Max Op (Standardized);Conc 3 Max (Standardized);Conc 3 Units (Standardized);Endpoint;Habitat;Publication Year
50000;Formaldehyde;Silurus glanis;Wels, European Catfish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Siluridae;Silurus;glanis;;Fish;Fry;;20;;;;;Day(s);Static;Formulation;~;1;;;;;ml/L;;;;;;;;;;;;;;;;;LC50;Water;1985
50000;Formaldehyde;Silurus glanis;Wels, European Catfish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Siluridae;Silurus;glanis;;Fish;Fry;;13;;;;;Day(s);Static;Formulation;~;1;;;;;ml/L;;;;;;;;;;;;;;;;;LC50;Water;1985
50000;Formaldehyde;Silurus glanis;Wels, European Catfish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Siluridae;Silurus;glanis;;Fish;Fry;;22;;;;;Day(s);Static;Formulation;;;>;1.2;<;1.4;ml/L;;;;;;;;;;;;;;;;;LC50;Water;1985
50000;Formaldehyde;Silurus glanis;Wels, European Catfish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Siluridae;Silurus;glanis;;Fish;Fry;;16;;;;;Day(s);Static;Formulation;~;1;;;;;ml/L;;;;;;;;;;;;;;;;;LC50;Water;1985
50000;Formaldehyde;Cyprinus carpio;Common Carp;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Cyprinus;carpio;;"Fish; Standard Test Species";Fry;;;;;;;;Static;Formulation;;0.72;;;;;ml/L;;;;;;;;;;;;;;;;;LC50;Water;1985
50000;Formaldehyde;Oncorhynchus mykiss;Rainbow Trout;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;mykiss;;"Fish; Standard Test Species; U.S. Threatened and Endangered Species";Fry;;;;;;;;Static;Formulation;;122;;105;;141;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1984
50000;Formaldehyde;Oncorhynchus mykiss;Rainbow Trout;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;mykiss;;"Fish; Standard Test Species; U.S. Threatened and Endangered Species";Fry;;;;;;;;Static;Formulation;;141;;114;;175;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1984
50000;Formaldehyde;Oncorhynchus mykiss;Rainbow Trout;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;mykiss;;"Fish; Standard Test Species; U.S. Threatened and Endangered Species";Fry;;;;;;;;Static;Formulation;;118;;101;;138;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1984
50000;Formaldehyde;Oncorhynchus mykiss;Rainbow Trout;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;mykiss;;"Fish; Standard Test Species; U.S. Threatened and Endangered Species";Fry;;;;;;;;Static;Formulation;;122;;102;;146;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1984
50000;Formaldehyde;Oncorhynchus mykiss;Rainbow Trout;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;mykiss;;"Fish; Standard Test Species; U.S. Threatened and Endangered Species";Fry;;;;;;;;Static;Formulation;;117;;100;;136;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1984
