CAS Number;Chemical Name;Species Scientific Name;Species Common Name;Species Kingdom;Species Phylum;Species Sub Phylum;Species Superclass;Species Class;Species Order;Species Family;Species Genus;Species;Variety;Species Group;Organism Lifestage;Organism Age Mean Op;Organism Age Mean;Organism Age Min Op;Organism Age Min;Organism Age Max Op;Organism Age Max;Age Units;Exposure Type;Conc 1 Type (Standardized);Conc 1 Mean Op (Standardized);Conc 1 Mean (Standardized);Conc 1 Min Op (Standardized);Conc Min 1 (Standardized);Conc 1 Max Op (Standardized);Conc 1 Max (Standardized);Conc 1 Units (Standardized);Conc 2 Type (Standardized);Conc 2 Mean Op (Standardized);Conc 2 Mean (Standardized);Conc 2 Min Op (Standardized);Conc Min 2 (Standardized);Conc 2 Max Op (Standardized);Conc 2 Max (Standardized);Conc 2 Units (Standardized);Conc 3 Type (Standardized);Conc 3 Mean Op (Standardized);Conc 3 Mean (Standardized);Conc 3 Min Op (Standardized);Conc Min 3 (Standardized);Conc 3 Max Op (Standardized);Conc 3 Max (Standardized);Conc 3 Units (Standardized);Endpoint;Habitat;Publication Year
50000;Formaldehyde;Daphnia magna;Water Flea;Animalia;Arthropoda;Crustacea;;Branchiopoda;Diplostraca;Daphniidae;Daphnia;magna;;"Crustaceans; Standard Test Species";;;;;;;;;Static;Formulation;;;>;100;<;1000;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1965
50000;Formaldehyde;Morone saxatilis;Striped Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Moronidae;Morone;saxatilis;;Fish;;;;;;;;;Static;Formulation;;32;;23;;45;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1969
50000;Formaldehyde;Morone saxatilis;Striped Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Moronidae;Morone;saxatilis;;Fish;;;;;;;;;Static;Formulation;;86;;57;;129;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1969
50000;Formaldehyde;Morone saxatilis;Striped Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Moronidae;Morone;saxatilis;;Fish;;;;;;;;;Static;Formulation;;18;;10;;32;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1969
50000;Formaldehyde;Ictalurus punctatus;Channel Catfish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Ictaluridae;Ictalurus;punctatus;;"Fish; Standard Test Species";;;;;;;;;Static;Active ingredient;;137;;129;;145;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1966
50000;Formaldehyde;Salmo trutta;Brown Trout;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Salmo;trutta;;"Fish; Standard Test Species";;;;;;;;;Static;Active ingredient;;185;;165;;208;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1966
50000;Formaldehyde;Salmo trutta;Brown Trout;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Salmo;trutta;;"Fish; Standard Test Species";;;;;;;;;Static;Active ingredient;;325;;304;;348;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1966
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";;;;;;;;;Static;Active ingredient;;140;;127;;154;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1966
50000;Formaldehyde;Ictalurus punctatus;Channel Catfish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Ictaluridae;Ictalurus;punctatus;;"Fish; Standard Test Species";Fingerling;;;;;;;;Static;Formulation;;69;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1959
50000;Formaldehyde;Salvelinus namaycush;Lake Trout, Siscowet;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Salvelinus;namaycush;;"Fish; Standard Test Species";;;;;;;;;Static;Active ingredient;;167;;160;;174;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1966
