CAS Number;Chemical Name;Species Scientific Name;Species Common Name;Species Kingdom;Species Phylum;Species Sub Phylum;Species Superclass;Species Class;Species Order;Species Family;Species Genus;Species;Variety;Species Group;Organism Lifestage;Organism Age Mean Op;Organism Age Mean;Organism Age Min Op;Organism Age Min;Organism Age Max Op;Organism Age Max;Age Units;Exposure Type;Conc 1 Type (Standardized);Conc 1 Mean Op (Standardized);Conc 1 Mean (Standardized);Conc 1 Min Op (Standardized);Conc Min 1 (Standardized);Conc 1 Max Op (Standardized);Conc 1 Max (Standardized);Conc 1 Units (Standardized);Conc 2 Type (Standardized);Conc 2 Mean Op (Standardized);Conc 2 Mean (Standardized);Conc 2 Min Op (Standardized);Conc Min 2 (Standardized);Conc 2 Max Op (Standardized);Conc 2 Max (Standardized);Conc 2 Units (Standardized);Conc 3 Type (Standardized);Conc 3 Mean Op (Standardized);Conc 3 Mean (Standardized);Conc 3 Min Op (Standardized);Conc Min 3 (Standardized);Conc 3 Max Op (Standardized);Conc 3 Max (Standardized);Conc 3 Units (Standardized);Endpoint;Habitat;Publication Year
50000;Formaldehyde;Litopenaeus vannamei;White Shrimp;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Penaeidae;Litopenaeus;vannamei;;Crustaceans;Larva;>;4;;;;;Day(s);;Formulation;;293;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1998
50000;Formaldehyde;Litopenaeus vannamei;White Shrimp;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Penaeidae;Litopenaeus;vannamei;;Crustaceans;Larva;>;1;;;;;Day(s);;Formulation;;274;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1998
50000;Formaldehyde;Artemia franciscana;San Francisco Brine Shrimp;Animalia;Arthropoda;Crustacea;;Branchiopoda;Anostraca;Artemiidae;Artemia;franciscana;;Crustaceans;Nauplii;;1;;;;;Instar;Static;Formulation;;293.1;;226;;380;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Litopenaeus vannamei;White Shrimp;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Penaeidae;Litopenaeus;vannamei;;Crustaceans;Larva;>;7;;;;;Day(s);;Formulation;;598;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1998
50000;Formaldehyde;Litopenaeus vannamei;White Shrimp;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Penaeidae;Litopenaeus;vannamei;;Crustaceans;Larva;>;3;;;;;Day(s);;Formulation;;298;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1998
50000;Formaldehyde;Litopenaeus vannamei;White Shrimp;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Penaeidae;Litopenaeus;vannamei;;Crustaceans;Larva;>;5;;;;;Day(s);;Formulation;;374;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1998
50000;Formaldehyde;Litopenaeus vannamei;White Shrimp;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Penaeidae;Litopenaeus;vannamei;;Crustaceans;Larva;>;2;;;;;Day(s);;Formulation;;288;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1998
50000;Formaldehyde;Litopenaeus vannamei;White Shrimp;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Penaeidae;Litopenaeus;vannamei;;Crustaceans;Larva;>;6;;;;;Day(s);;Formulation;;497;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1998
50000;Formaldehyde;Gambusia affinis;Western Mosquitofish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cyprinodontiformes;Poeciliidae;Gambusia;affinis;;Fish;;;;;;;;;Renewal;Active ingredient;;90;;87.63;;92.43;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Gambusia affinis;Western Mosquitofish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cyprinodontiformes;Poeciliidae;Gambusia;affinis;;Fish;;;;;;;;;Renewal;Active ingredient;;100;;86.13;;116.1;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Gambusia affinis;Western Mosquitofish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cyprinodontiformes;Poeciliidae;Gambusia;affinis;;Fish;;;;;;;;;Renewal;Active ingredient;;97;;95;;99.03;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Gambusia affinis;Western Mosquitofish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cyprinodontiformes;Poeciliidae;Gambusia;affinis;;Fish;;;;;;;;;Renewal;Active ingredient;;94;;90.55;;97.57;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Oncorhynchus mykiss;Rainbow Trout;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Oncorhynchus;mykiss;;"Fish; Standard Test Species; U.S. Threatened and Endangered Species";Juvenile;;;;;;;;Static;Formulation;;50;;42.3;;86;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1997
50000;Formaldehyde;Anophryoides haemophila;Ciliate;Animalia;Ciliophora;;;Oligohymenophorea;Philasterida;Orchitophryidae;Anophryoides;haemophila;;Invertebrates;;;;;;;;;Static;;;40;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1996
50000;Formaldehyde;Pinctada fucata;Akoya Pearl Oyster;Animalia;Mollusca;;;Bivalvia;Pterioida;Pteriidae;Pinctada;fucata;;Molluscs;;;1;;;;;Year(s);Renewal;Active ingredient;;7.7;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Pinctada fucata;Akoya Pearl Oyster;Animalia;Mollusca;;;Bivalvia;Pterioida;Pteriidae;Pinctada;fucata;;Molluscs;;;1;;;;;Year(s);Renewal;Active ingredient;;24;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Pinctada fucata;Akoya Pearl Oyster;Animalia;Mollusca;;;Bivalvia;Pterioida;Pteriidae;Pinctada;fucata;;Molluscs;;;1;;;;;Year(s);Renewal;Active ingredient;;34;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Pinctada fucata;Akoya Pearl Oyster;Animalia;Mollusca;;;Bivalvia;Pterioida;Pteriidae;Pinctada;fucata;;Molluscs;;;1;;;;;Year(s);Renewal;Active ingredient;;7.7;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Pinctada fucata;Akoya Pearl Oyster;Animalia;Mollusca;;;Bivalvia;Pterioida;Pteriidae;Pinctada;fucata;;Molluscs;;;2;;;;;Year(s);Renewal;Active ingredient;;26;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Pinctada fucata;Akoya Pearl Oyster;Animalia;Mollusca;;;Bivalvia;Pterioida;Pteriidae;Pinctada;fucata;;Molluscs;;;2;;;;;Year(s);Renewal;Active ingredient;;49;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Pinctada fucata;Akoya Pearl Oyster;Animalia;Mollusca;;;Bivalvia;Pterioida;Pteriidae;Pinctada;fucata;;Molluscs;;;2;;;;;Year(s);Renewal;Active ingredient;;153;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Pinctada fucata;Akoya Pearl Oyster;Animalia;Mollusca;;;Bivalvia;Pterioida;Pteriidae;Pinctada;fucata;;Molluscs;;;2;;;;;Year(s);Renewal;Active ingredient;;10.2;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Pinctada fucata;Akoya Pearl Oyster;Animalia;Mollusca;;;Bivalvia;Pterioida;Pteriidae;Pinctada;fucata;;Molluscs;;;1;;;;;Year(s);Renewal;Active ingredient;;12;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Pinctada fucata;Akoya Pearl Oyster;Animalia;Mollusca;;;Bivalvia;Pterioida;Pteriidae;Pinctada;fucata;;Molluscs;;;2;;;;;Year(s);Renewal;Active ingredient;;54;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Pinctada fucata;Akoya Pearl Oyster;Animalia;Mollusca;;;Bivalvia;Pterioida;Pteriidae;Pinctada;fucata;;Molluscs;;;2;;;;;Year(s);Renewal;Active ingredient;;6.4;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Pinctada fucata;Akoya Pearl Oyster;Animalia;Mollusca;;;Bivalvia;Pterioida;Pteriidae;Pinctada;fucata;;Molluscs;;;2;;;;;Year(s);Renewal;Active ingredient;;10.5;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Pinctada fucata;Akoya Pearl Oyster;Animalia;Mollusca;;;Bivalvia;Pterioida;Pteriidae;Pinctada;fucata;;Molluscs;;;2;;;;;Year(s);Renewal;Active ingredient;;13;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
50000;Formaldehyde;Pinctada fucata;Akoya Pearl Oyster;Animalia;Mollusca;;;Bivalvia;Pterioida;Pteriidae;Pinctada;fucata;;Molluscs;;;1;;;;;Year(s);Renewal;Active ingredient;;5.3;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2000
