CAS Number;Chemical Name;Species Scientific Name;Species Common Name;Species Kingdom;Species Phylum;Species Sub Phylum;Species Superclass;Species Class;Species Order;Species Family;Species Genus;Species;Variety;Species Group;Organism Lifestage;Organism Age Mean Op;Organism Age Mean;Organism Age Min Op;Organism Age Min;Organism Age Max Op;Organism Age Max;Age Units;Exposure Type;Conc 1 Type (Standardized);Conc 1 Mean Op (Standardized);Conc 1 Mean (Standardized);Conc 1 Min Op (Standardized);Conc Min 1 (Standardized);Conc 1 Max Op (Standardized);Conc 1 Max (Standardized);Conc 1 Units (Standardized);Conc 2 Type (Standardized);Conc 2 Mean Op (Standardized);Conc 2 Mean (Standardized);Conc 2 Min Op (Standardized);Conc Min 2 (Standardized);Conc 2 Max Op (Standardized);Conc 2 Max (Standardized);Conc 2 Units (Standardized);Conc 3 Type (Standardized);Conc 3 Mean Op (Standardized);Conc 3 Mean (Standardized);Conc 3 Min Op (Standardized);Conc Min 3 (Standardized);Conc 3 Max Op (Standardized);Conc 3 Max (Standardized);Conc 3 Units (Standardized);Endpoint;Habitat;Publication Year
50000;Formaldehyde;Lophiosilurus alexandri;Pacama;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Pimelodidae;Lophiosilurus;alexandri;;Fish;Juvenile;;45;;;;;Days post-hatch;Static;Active ingredient;;688.95;;618.07;;767.96;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2019
50000;Formaldehyde;Arapaima gigas;Pirarucu;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Osteoglossiformes;Osteoglossidae;Arapaima;gigas;;Fish;Juvenile;;;;;;;;Static;Formulation;;88.3;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2018
50000;Formaldehyde;Arapaima gigas;Pirarucu;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Osteoglossiformes;Osteoglossidae;Arapaima;gigas;;Fish;Juvenile;;;;;;;;Static;Formulation;;36.4;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2018
50000;Formaldehyde;Oreochromis niloticus;Nile Tilapia;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Cichlidae;Oreochromis;niloticus;;Fish;Juvenile;;;;;;;;Static;Formulation;;191.34;;174.75;;209.51;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2019
50000;Formaldehyde;Oryzias dancena;Mundakanni;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Beloniformes;Adrianichthyidae;Oryzias;dancena;;Fish;Egg;;;;;;;;Aquatic - not reported;Formulation;;;>;3.9;<;6.4;%;;;;;;;;;;;;;;;;;LC50;Water;2019
50000;Formaldehyde;Oryzias dancena;Mundakanni;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Beloniformes;Adrianichthyidae;Oryzias;dancena;;Fish;Egg;;;;;;;;Aquatic - not reported;Formulation;;6.4;;;;;%;;;;;;;;;;;;;;;;;LC50;Water;2019
50000;Formaldehyde;Oryzias dancena;Mundakanni;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Beloniformes;Adrianichthyidae;Oryzias;dancena;;Fish;Egg;;;;;;;;Aquatic - not reported;Formulation;;;>;0;<;3.9;%;;;;;;;;;;;;;;;;;LC50;Water;2019
50000;Formaldehyde;Lophiosilurus alexandri;Pacama;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Pimelodidae;Lophiosilurus;alexandri;;Fish;Larva;;7;;;;;Days post-hatch;Static;Active ingredient;;108.86;;99.06;;119.63;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2019
50000;Formaldehyde;Lophiosilurus alexandri;Pacama;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Pimelodidae;Lophiosilurus;alexandri;;Fish;Larva;;7;;;;;Days post-hatch;Static;Active ingredient;;662.21;;583.33;;751.75;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2019
50000;Formaldehyde;Oryzias dancena;Mundakanni;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Beloniformes;Adrianichthyidae;Oryzias;dancena;;Fish;Egg;;;;;;;;Aquatic - not reported;Formulation;;8.8;;;;;%;;;;;;;;;;;;;;;;;LC50;Water;2019
50000;Formaldehyde;Lophiosilurus alexandri;Pacama;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Pimelodidae;Lophiosilurus;alexandri;;Fish;Juvenile;;22;;;;;Days post-emergence;Static;Active ingredient;;152.74;;142.62;;156.18;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2019
50000;Formaldehyde;Oryzias dancena;Mundakanni;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Beloniformes;Adrianichthyidae;Oryzias;dancena;;Fish;Egg;;;;;;;;Aquatic - not reported;Formulation;;3.9;;;;;%;;;;;;;;;;;;;;;;;LC50;Water;2019
