CAS Number;Chemical Name;Species Scientific Name;Species Common Name;Species Kingdom;Species Phylum;Species Sub Phylum;Species Superclass;Species Class;Species Order;Species Family;Species Genus;Species;Variety;Species Group;Organism Lifestage;Organism Age Mean Op;Organism Age Mean;Organism Age Min Op;Organism Age Min;Organism Age Max Op;Organism Age Max;Age Units;Exposure Type;Conc 1 Type (Standardized);Conc 1 Mean Op (Standardized);Conc 1 Mean (Standardized);Conc 1 Min Op (Standardized);Conc Min 1 (Standardized);Conc 1 Max Op (Standardized);Conc 1 Max (Standardized);Conc 1 Units (Standardized);Conc 2 Type (Standardized);Conc 2 Mean Op (Standardized);Conc 2 Mean (Standardized);Conc 2 Min Op (Standardized);Conc Min 2 (Standardized);Conc 2 Max Op (Standardized);Conc 2 Max (Standardized);Conc 2 Units (Standardized);Conc 3 Type (Standardized);Conc 3 Mean Op (Standardized);Conc 3 Mean (Standardized);Conc 3 Min Op (Standardized);Conc Min 3 (Standardized);Conc 3 Max Op (Standardized);Conc 3 Max (Standardized);Conc 3 Units (Standardized);Endpoint;Habitat;Publication Year
50000;Formaldehyde;Cypridopsis sp.;Ostracod;Animalia;Arthropoda;Crustacea;;Ostracoda;Podocopa;Cypridopsidae;Cypridopsis;sp.;;Crustaceans;;;;;;;;;;Active ingredient;;1.15;;0.69;;1.97;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Cypridopsis sp.;Ostracod;Animalia;Arthropoda;Crustacea;;Ostracoda;Podocopa;Cypridopsidae;Cypridopsis;sp.;;Crustaceans;;;;;;;;;;Active ingredient;;1.2;;0.664;;2.17;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Cypridopsis sp.;Ostracod;Animalia;Arthropoda;Crustacea;;Ostracoda;Podocopa;Cypridopsidae;Cypridopsis;sp.;;Crustaceans;;;;;;;;;;Active ingredient;;1.05;;0.59;;1.87;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Palaemonetes kadiakensis;Grass Shrimp,Freshwater Prawn;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Palaemonidae;Palaemonetes;kadiakensis;;Crustaceans;;;;;;;;;;Active ingredient;;2150;;1948;;2373;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Palaemonetes kadiakensis;Grass Shrimp,Freshwater Prawn;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Palaemonidae;Palaemonetes;kadiakensis;;Crustaceans;;;;;;;;;;Active ingredient;;1105;;896;;1362;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Palaemonetes kadiakensis;Grass Shrimp,Freshwater Prawn;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Palaemonidae;Palaemonetes;kadiakensis;;Crustaceans;;;;;;;;;;Active ingredient;;1900;;1588;;2273;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Cypridopsis sp.;Ostracod;Animalia;Arthropoda;Crustacea;;Ostracoda;Podocopa;Cypridopsidae;Cypridopsis;sp.;;Crustaceans;;;;;;;;;;Active ingredient;;9;;6.83;;11.9;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Palaemonetes kadiakensis;Grass Shrimp,Freshwater Prawn;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Palaemonidae;Palaemonetes;kadiakensis;;Crustaceans;;;;;;;;;;Active ingredient;;465;;368;;588;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Cypridopsis sp.;Ostracod;Animalia;Arthropoda;Crustacea;;Ostracoda;Podocopa;Cypridopsidae;Cypridopsis;sp.;;Crustaceans;;;;;;;;;;Active ingredient;;6.4;;4.91;;8.34;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Micropterus salmoides;Largemouth Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Micropterus;salmoides;;Fish;Fingerling;;;;;;;;;Active ingredient;;143;;129;;159;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Micropterus salmoides;Largemouth Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Micropterus;salmoides;;Fish;Fingerling;;;;;;;;;Active ingredient;;283;;229;;350;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Micropterus salmoides;Largemouth Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Micropterus;salmoides;;Fish;Fingerling;;;;;;;;;Active ingredient;;1030;;928;;1140;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Anguilla rostrata;American Eel;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Anguilliformes;Anguillidae;Anguilla;rostrata;;Fish;;;;;;;;;Static;Active ingredient;;83.96;;0;;197.79;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1978
50000;Formaldehyde;Leuciscus idus ssp. melanotus;Carp;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Leuciscus;idus;;Fish;;;;;;;;;;Formulation;;50;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1978
50000;Formaldehyde;Ameiurus melas;Black Bullhead;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Ictaluridae;Ameiurus;melas;;Fish;Fingerling;;;;;;;;;Active ingredient;;173;;123;;243;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Ameiurus melas;Black Bullhead;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Ictaluridae;Ameiurus;melas;;Fish;Fingerling;;;;;;;;;Active ingredient;;62.1;;50.9;;75.8;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Gambusia affinis;Western Mosquitofish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cyprinodontiformes;Poeciliidae;Gambusia;affinis;;Fish;;;;;;;;;Static;Active ingredient;;131.3;;112.6;;162.7;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1979
50000;Formaldehyde;Gambusia affinis;Western Mosquitofish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cyprinodontiformes;Poeciliidae;Gambusia;affinis;;Fish;;;;;;;;;Static;Active ingredient;;135.8;;106.8;;179.3;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1979
50000;Formaldehyde;Anguilla rostrata;American Eel;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Anguilliformes;Anguillidae;Anguilla;rostrata;;Fish;;;;;;;;;Static;Active ingredient;;224.49;;179.65;;320.92;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1979
50000;Formaldehyde;Leuciscus idus ssp. melanotus;Carp;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cyprinidae;Leuciscus;idus;;Fish;;;;;;;;;;Formulation;;108;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1978
50000;Formaldehyde;Gambusia affinis;Western Mosquitofish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cyprinodontiformes;Poeciliidae;Gambusia;affinis;;Fish;;;;;;;;;Static;Active ingredient;;56.6;;18.6;;90.1;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1979
50000;Formaldehyde;Gambusia affinis;Western Mosquitofish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cyprinodontiformes;Poeciliidae;Gambusia;affinis;;Fish;;;;;;;;;Static;Active ingredient;;163.7;;148.4;;176.8;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1979
50000;Formaldehyde;Micropterus dolomieu;Smallmouth Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Micropterus;dolomieu;;Fish;Fingerling;;;;;;;;;Active ingredient;;222;;171;;288;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Micropterus dolomieu;Smallmouth Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Micropterus;dolomieu;;Fish;Fingerling;;;;;;;;;Active ingredient;;136;;90.2;;205;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Ictalurus punctatus;Channel Catfish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Ictaluridae;Ictalurus;punctatus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;65.8;;58.1;;74.5;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Ictalurus punctatus;Channel Catfish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Ictaluridae;Ictalurus;punctatus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;235;;185;;298;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Ictalurus punctatus;Channel Catfish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Ictaluridae;Ictalurus;punctatus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;495;;430;;570;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Ictalurus punctatus;Channel Catfish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Ictaluridae;Ictalurus;punctatus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;99;;86;;114;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Ictalurus punctatus;Channel Catfish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Ictaluridae;Ictalurus;punctatus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;282;;228;;349;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Ictalurus punctatus;Channel Catfish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Ictaluridae;Ictalurus;punctatus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;118;;103;;135;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;2300;;1822;;2904;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;232;;174;;309;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;1055;;883;;1260;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;249;;166;;373;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;1230;;1071;;1412;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;88.4;;75.1;;104;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis cyanellus;Green Sunfish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;cyanellus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;173;;123;;243;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;73.5;;63.5;;85;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;1310;;1038;;1654;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Salvelinus namaycush;Lake Trout, Siscowet;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Salvelinus;namaycush;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;603;;444;;819;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;2300;;1950;;2712;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;230;;182;;290;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;469;;403;;545;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;117;;101;;136;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;91;;81.2;;102;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;211;;171;;260;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;1190;;1027;;1379;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;2290;;1944;;2697;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;125;;89.1;;175;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;1750;;925;;3312;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;335;;284;;395;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;1600;;1165;;2198;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Salvelinus namaycush;Lake Trout, Siscowet;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Salmoniformes;Salmonidae;Salvelinus;namaycush;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;100;;78.2;;128;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;189;;153;;234;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;2290;;1804;;2907;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;100;;72.6;;138;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";Fingerling;;;;;;;;;Active ingredient;;106;;84;;134;ul/L;;;;;;;;;;;;;;;;;LC50;Water;1977
