CAS Number;Chemical Name;Species Scientific Name;Species Common Name;Species Kingdom;Species Phylum;Species Sub Phylum;Species Superclass;Species Class;Species Order;Species Family;Species Genus;Species;Variety;Species Group;Organism Lifestage;Organism Age Mean Op;Organism Age Mean;Organism Age Min Op;Organism Age Min;Organism Age Max Op;Organism Age Max;Age Units;Exposure Type;Conc 1 Type (Standardized);Conc 1 Mean Op (Standardized);Conc 1 Mean (Standardized);Conc 1 Min Op (Standardized);Conc Min 1 (Standardized);Conc 1 Max Op (Standardized);Conc 1 Max (Standardized);Conc 1 Units (Standardized);Conc 2 Type (Standardized);Conc 2 Mean Op (Standardized);Conc 2 Mean (Standardized);Conc 2 Min Op (Standardized);Conc Min 2 (Standardized);Conc 2 Max Op (Standardized);Conc 2 Max (Standardized);Conc 2 Units (Standardized);Conc 3 Type (Standardized);Conc 3 Mean Op (Standardized);Conc 3 Mean (Standardized);Conc 3 Min Op (Standardized);Conc Min 3 (Standardized);Conc 3 Max Op (Standardized);Conc 3 Max (Standardized);Conc 3 Units (Standardized);Endpoint;Habitat;Publication Year
50000;Formaldehyde;Crangon crangon;Sand Shrimp;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Crangonidae;Crangon;crangon;;Crustaceans;Adult;;;;;;;;Renewal;Formulation;;;;330;;1000;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1971
50000;Formaldehyde;Crangon crangon;Sand Shrimp;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Crangonidae;Crangon;crangon;;Crustaceans;Larva;;;;;;;;Static;Formulation;;;;330;;1000;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1972
50000;Formaldehyde;Morone saxatilis;Striped Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Moronidae;Morone;saxatilis;;Fish;Fingerling;;;;;;;;Static;Formulation;;15;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1973
50000;Formaldehyde;Morone saxatilis;Striped Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Moronidae;Morone;saxatilis;;Fish;Larva;;;;;;;;Static;Formulation;;15;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1973
50000;Formaldehyde;Morone saxatilis;Striped Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Moronidae;Morone;saxatilis;;Fish;Fingerling;;;;;;;;Static;Formulation;;35;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1973
50000;Formaldehyde;Morone saxatilis;Striped Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Moronidae;Morone;saxatilis;;Fish;Larva;;;;;;;;Static;Formulation;;15;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1973
50000;Formaldehyde;Morone saxatilis;Striped Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Moronidae;Morone;saxatilis;;Fish;Larva;;;;;;;;Static;Formulation;;15;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1973
50000;Formaldehyde;Morone saxatilis;Striped Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Moronidae;Morone;saxatilis;;Fish;Fingerling;;;;;;;;Static;Formulation;;15;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1973
50000;Formaldehyde;Morone saxatilis;Striped Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Moronidae;Morone;saxatilis;;Fish;Fingerling;;;;;;;;Static;Formulation;;15;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1973
50000;Formaldehyde;Morone saxatilis;Striped Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Moronidae;Morone;saxatilis;;Fish;Larva;;;;;;;;Static;Formulation;;15;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1973
50000;Formaldehyde;Trachinotus carolinus;Florida Pompano;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Carangidae;Trachinotus;carolinus;;Fish;Juvenile;;;;;;;;Static;Formulation;;69.1;;61.8;;77.3;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1971
50000;Formaldehyde;Trachinotus carolinus;Florida Pompano;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Carangidae;Trachinotus;carolinus;;Fish;Juvenile;;;;;;;;Static;Formulation;;78;;70.1;;86.7;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1971
50000;Formaldehyde;Trachinotus carolinus;Florida Pompano;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Carangidae;Trachinotus;carolinus;;Fish;Juvenile;;;;;;;;Static;Formulation;;71.6;;65.8;;77.9;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1971
50000;Formaldehyde;Platichthys flesus;Starry, European Flounder;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Pleuronectiformes;Pleuronectidae;Platichthys;flesus;;Fish;Adult;;;;;;;;Renewal;Formulation;;;;100;;330;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1971
50000;Formaldehyde;Trachinotus carolinus;Florida Pompano;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Carangidae;Trachinotus;carolinus;;Fish;Juvenile;;;;;;;;Static;Formulation;;73.7;;62.5;;87;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1971
50000;Formaldehyde;Trachinotus carolinus;Florida Pompano;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Carangidae;Trachinotus;carolinus;;Fish;Juvenile;;;;;;;;Static;Formulation;;78;;70.1;;86.7;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1971
50000;Formaldehyde;Trachinotus carolinus;Florida Pompano;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Carangidae;Trachinotus;carolinus;;Fish;Juvenile;;;;;;;;Static;Formulation;;74.9;;69;;81.3;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1971
