CAS Number;Chemical Name;Species Scientific Name;Species Common Name;Species Kingdom;Species Phylum;Species Sub Phylum;Species Superclass;Species Class;Species Order;Species Family;Species Genus;Species;Variety;Species Group;Organism Lifestage;Organism Age Mean Op;Organism Age Mean;Organism Age Min Op;Organism Age Min;Organism Age Max Op;Organism Age Max;Age Units;Exposure Type;Conc 1 Type (Standardized);Conc 1 Mean Op (Standardized);Conc 1 Mean (Standardized);Conc 1 Min Op (Standardized);Conc Min 1 (Standardized);Conc 1 Max Op (Standardized);Conc 1 Max (Standardized);Conc 1 Units (Standardized);Conc 2 Type (Standardized);Conc 2 Mean Op (Standardized);Conc 2 Mean (Standardized);Conc 2 Min Op (Standardized);Conc Min 2 (Standardized);Conc 2 Max Op (Standardized);Conc 2 Max (Standardized);Conc 2 Units (Standardized);Conc 3 Type (Standardized);Conc 3 Mean Op (Standardized);Conc 3 Mean (Standardized);Conc 3 Min Op (Standardized);Conc Min 3 (Standardized);Conc 3 Max Op (Standardized);Conc 3 Max (Standardized);Conc 3 Units (Standardized);Endpoint;Habitat;Publication Year
50000;Formaldehyde;Penaeus monodon;Jumbo Tiger Prawn;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Penaeidae;Penaeus;monodon;;Crustaceans;Post-larva;;;;;;;;;Formulation;;168;;138;;203;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1989
50000;Formaldehyde;Metapenaeus ensis;Greasyback Shrimp;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Penaeidae;Metapenaeus;ensis;;Crustaceans;Post-larva;;;;;;;;;Formulation;;633;;573;;699;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1989
50000;Formaldehyde;Fenneropenaeus penicillatus;Redtail Prawn;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Penaeidae;Fenneropenaeus;penicillatus;;Crustaceans;Post-larva;;;;;;;;;Formulation;;275;;238;;318;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1989
50000;Formaldehyde;Penaeus japonicus;Kuruma Shrimp;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Penaeidae;Penaeus;japonicus;;Crustaceans;Post-larva;;;;;;;;;Formulation;;136;;123;;149;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1989
50000;Formaldehyde;Penaeus semisulcatus;Shrimp;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Penaeidae;Penaeus;semisulcatus;;Crustaceans;Post-larva;;;;;;;;;Formulation;;184;;157;;216;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1989
50000;Formaldehyde;Macrobrachium rosenbergii;Giant River Prawn;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;rosenbergii;;Crustaceans;Post-larva;;;;;;;;;Formulation;;423;;380;;470;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1989
50000;Formaldehyde;Ceriodaphnia dubia;Water Flea;Animalia;Arthropoda;Crustacea;;Branchiopoda;Diplostraca;Daphniidae;Ceriodaphnia;dubia;;"Crustaceans; Standard Test Species";;;;;;;;;Static;Formulation;;11.93;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1990
50000;Formaldehyde;Ceriodaphnia dubia;Water Flea;Animalia;Arthropoda;Crustacea;;Branchiopoda;Diplostraca;Daphniidae;Ceriodaphnia;dubia;;"Crustaceans; Standard Test Species";;;;;;;;;Static;Formulation;;11.41;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1990
50000;Formaldehyde;Ceriodaphnia dubia;Water Flea;Animalia;Arthropoda;Crustacea;;Branchiopoda;Diplostraca;Daphniidae;Ceriodaphnia;dubia;;"Crustaceans; Standard Test Species";;;;;;;;;Static;Formulation;;12.87;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1990
50000;Formaldehyde;Chanos chanos;Milkfish, Salmon-Herring;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Gonorhynchiformes;Chanidae;Chanos;chanos;;Fish;Fingerling;;;;;;;;Static;Formulation;;232;;154;;422;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1989
