CAS Number;Chemical Name;Species Scientific Name;Species Common Name;Species Kingdom;Species Phylum;Species Sub Phylum;Species Superclass;Species Class;Species Order;Species Family;Species Genus;Species;Variety;Species Group;Organism Lifestage;Organism Age Mean Op;Organism Age Mean;Organism Age Min Op;Organism Age Min;Organism Age Max Op;Organism Age Max;Age Units;Exposure Type;Conc 1 Type (Standardized);Conc 1 Mean Op (Standardized);Conc 1 Mean (Standardized);Conc 1 Min Op (Standardized);Conc Min 1 (Standardized);Conc 1 Max Op (Standardized);Conc 1 Max (Standardized);Conc 1 Units (Standardized);Conc 2 Type (Standardized);Conc 2 Mean Op (Standardized);Conc 2 Mean (Standardized);Conc 2 Min Op (Standardized);Conc Min 2 (Standardized);Conc 2 Max Op (Standardized);Conc 2 Max (Standardized);Conc 2 Units (Standardized);Conc 3 Type (Standardized);Conc 3 Mean Op (Standardized);Conc 3 Mean (Standardized);Conc 3 Min Op (Standardized);Conc Min 3 (Standardized);Conc 3 Max Op (Standardized);Conc 3 Max (Standardized);Conc 3 Units (Standardized);Endpoint;Habitat;Publication Year
50000;Formaldehyde;Ceriodaphnia dubia;Water Flea;Animalia;Arthropoda;Crustacea;;Branchiopoda;Diplostraca;Daphniidae;Ceriodaphnia;dubia;;"Crustaceans; Standard Test Species";;;;;;;;;Renewal;Formulation;;17.5;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2006
50000;Formaldehyde;Sphoeroides annulatus;Bullseye Puffer;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Tetraodontiformes;Tetraodontidae;Sphoeroides;annulatus;;Fish;Juvenile;;;;;;;;Static;Active ingredient;;87;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2003
50000;Formaldehyde;Acipenser oxyrhynchus;Atlantic Sturgeon;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Acipenseriformes;Acipenseridae;Acipenser;oxyrhynchus;;Fish;Fingerling;;;;;;;;Static;Active ingredient;;31;;27.3;;35.2;ul/L;;;;;;;;;;;;;;;;;LC50;Water;2002
50000;Formaldehyde;Sphoeroides annulatus;Bullseye Puffer;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Tetraodontiformes;Tetraodontidae;Sphoeroides;annulatus;;Fish;Juvenile;;;;;;;;Static;Active ingredient;;1604;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2003
50000;Formaldehyde;Lepidocephalichthys guntea;Guntea Loach;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cobitidae;Lepidocephalichthys;guntea;;Fish;;;;;;;;;Renewal;Formulation;;107;;105.83;;108.17;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2001
50000;Formaldehyde;Lepidocephalichthys guntea;Guntea Loach;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cobitidae;Lepidocephalichthys;guntea;;Fish;;;;;;;;;Renewal;Formulation;;109;;107.7;;110.3;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2001
50000;Formaldehyde;Lepidocephalichthys guntea;Guntea Loach;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cobitidae;Lepidocephalichthys;guntea;;Fish;;;;;;;;;Renewal;Formulation;;111;;109.46;;112.55;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2001
50000;Formaldehyde;Lepidocephalichthys guntea;Guntea Loach;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Cypriniformes;Cobitidae;Lepidocephalichthys;guntea;;Fish;;;;;;;;;Renewal;Formulation;;104;;103.07;;104.93;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2001
50000;Formaldehyde;Oreochromis niloticus;Nile Tilapia;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Cichlidae;Oreochromis;niloticus;;Fish;Fry;;27;;;;;Day(s);Static;Formulation;;474.85;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2001
50000;Formaldehyde;Oreochromis niloticus;Nile Tilapia;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Cichlidae;Oreochromis;niloticus;;Fish;Fry;;27;;;;;Day(s);Static;Formulation;;542.13;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2001
50000;Formaldehyde;Sphoeroides annulatus;Bullseye Puffer;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Tetraodontiformes;Tetraodontidae;Sphoeroides;annulatus;;Fish;Juvenile;;;;;;;;Static;Active ingredient;;79;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2003
50000;Formaldehyde;Oreochromis niloticus;Nile Tilapia;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Cichlidae;Oreochromis;niloticus;;Fish;Fry;;27;;;;;Day(s);Static;Formulation;;396.9;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2001
