CAS Number;Chemical Name;Species Scientific Name;Species Common Name;Species Kingdom;Species Phylum;Species Sub Phylum;Species Superclass;Species Class;Species Order;Species Family;Species Genus;Species;Variety;Species Group;Organism Lifestage;Organism Age Mean Op;Organism Age Mean;Organism Age Min Op;Organism Age Min;Organism Age Max Op;Organism Age Max;Age Units;Exposure Type;Conc 1 Type (Standardized);Conc 1 Mean Op (Standardized);Conc 1 Mean (Standardized);Conc 1 Min Op (Standardized);Conc Min 1 (Standardized);Conc 1 Max Op (Standardized);Conc 1 Max (Standardized);Conc 1 Units (Standardized);Conc 2 Type (Standardized);Conc 2 Mean Op (Standardized);Conc 2 Mean (Standardized);Conc 2 Min Op (Standardized);Conc Min 2 (Standardized);Conc 2 Max Op (Standardized);Conc 2 Max (Standardized);Conc 2 Units (Standardized);Conc 3 Type (Standardized);Conc 3 Mean Op (Standardized);Conc 3 Mean (Standardized);Conc 3 Min Op (Standardized);Conc Min 3 (Standardized);Conc 3 Max Op (Standardized);Conc 3 Max (Standardized);Conc 3 Units (Standardized);Endpoint;Habitat;Publication Year
50000;Formaldehyde;Uca pugilator;Fiddler Crab;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Ocypodidae;Uca;pugilator;;Crustaceans;;;;;;;;;Static;Formulation;;380;;173;;831;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1992
50000;Formaldehyde;Farfantepenaeus duorarum;Northern Pink Shrimp;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Penaeidae;Farfantepenaeus;duorarum;;"Crustaceans; Standard Test Species";;;;;;;;;Static;Formulation;;7.6;;5.8;;10;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1992
50000;Formaldehyde;Farfantepenaeus duorarum;Northern Pink Shrimp;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Penaeidae;Farfantepenaeus;duorarum;;"Crustaceans; Standard Test Species";;;;;;;;;Static;Formulation;;358;;209;;610;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1992
50000;Formaldehyde;Farfantepenaeus duorarum;Northern Pink Shrimp;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Penaeidae;Farfantepenaeus;duorarum;;"Crustaceans; Standard Test Species";;;;;;;;;Static;Formulation;;143;;91;;291;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1992
50000;Formaldehyde;Colisa fasciata;Giant Gourami;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Osphronemidae;Colisa;fasciata;;Fish;;;;;;;;;Renewal;Formulation;;115;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1992
50000;Formaldehyde;Micropterus dolomieu;Smallmouth Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Micropterus;dolomieu;;Fish;;;;;;;;;Static;Formulation;;136;;90;;205;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1992
50000;Formaldehyde;Trachinotus carolinus;Florida Pompano;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Carangidae;Trachinotus;carolinus;;Fish;;;;;;;;;Static;Formulation;;69.1;;61.8;;77.8;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1992
50000;Formaldehyde;Mystus vittatus;Striped Catfish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Bagridae;Mystus;vittatus;;Fish;;;;;;;;;Renewal;Formulation;~;85;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1992
50000;Formaldehyde;Ameiurus melas;Black Bullhead;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Ictaluridae;Ameiurus;melas;;Fish;;;;;;;;;Static;Formulation;;62.1;;50.9;;75.8;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1992
50000;Formaldehyde;Colisa fasciata;Giant Gourami;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Osphronemidae;Colisa;fasciata;;Fish;;;;;;;;;Renewal;Formulation;~;130;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1992
50000;Formaldehyde;Mystus vittatus;Striped Catfish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Bagridae;Mystus;vittatus;;Fish;;;;;;;;;Renewal;Formulation;~;80;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1992
50000;Formaldehyde;Micropterus salmoides;Largemouth Bass;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Micropterus;salmoides;;Fish;;;;;;;;;Static;Formulation;;143;;129;;159;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1992
50000;Formaldehyde;Mystus vittatus;Striped Catfish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Bagridae;Mystus;vittatus;;Fish;;;;;;;;;Renewal;Formulation;~;75;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1992
50000;Formaldehyde;Colisa fasciata;Giant Gourami;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Osphronemidae;Colisa;fasciata;;Fish;;;;;;;;;Renewal;Formulation;~;120;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1992
50000;Formaldehyde;Mystus vittatus;Striped Catfish;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Siluriformes;Bagridae;Mystus;vittatus;;Fish;;;;;;;;;Renewal;Formulation;;70;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1992
50000;Formaldehyde;Menidia menidia;Atlantic Silverside;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Atheriniformes;Atherinidae;Menidia;menidia;;"Fish; Standard Test Species";;;;;;;;;Static;Formulation;;69;;52;;86;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1992
50000;Formaldehyde;Lepomis macrochirus;Bluegill;Animalia;Chordata;Vertebrata;Osteichthyes;Actinopterygii;Perciformes;Centrarchidae;Lepomis;macrochirus;;"Fish; Standard Test Species";;;;;;;;;Static;Formulation;;68;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;1992
