CAS Number;Chemical Name;Species Scientific Name;Species Common Name;Species Kingdom;Species Phylum;Species Sub Phylum;Species Superclass;Species Class;Species Order;Species Family;Species Genus;Species;Variety;Species Group;Organism Lifestage;Organism Age Mean Op;Organism Age Mean;Organism Age Min Op;Organism Age Min;Organism Age Max Op;Organism Age Max;Age Units;Exposure Type;Conc 1 Type (Standardized);Conc 1 Mean Op (Standardized);Conc 1 Mean (Standardized);Conc 1 Min Op (Standardized);Conc Min 1 (Standardized);Conc 1 Max Op (Standardized);Conc 1 Max (Standardized);Conc 1 Units (Standardized);Conc 2 Type (Standardized);Conc 2 Mean Op (Standardized);Conc 2 Mean (Standardized);Conc 2 Min Op (Standardized);Conc Min 2 (Standardized);Conc 2 Max Op (Standardized);Conc 2 Max (Standardized);Conc 2 Units (Standardized);Conc 3 Type (Standardized);Conc 3 Mean Op (Standardized);Conc 3 Mean (Standardized);Conc 3 Min Op (Standardized);Conc Min 3 (Standardized);Conc 3 Max Op (Standardized);Conc 3 Max (Standardized);Conc 3 Units (Standardized);Endpoint;Habitat;Publication Year
50000;Formaldehyde;Lithobates catesbeianus;American Bullfrog;Animalia;Chordata;Vertebrata;;Amphibia;Anura;Ranidae;Lithobates;catesbeianus;;"Amphibians; U.S. Invasive Species";Tadpole;;;;31;;36;Gosner stage;Renewal;Formulation;;10.53;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2015
50000;Formaldehyde;Macrobrachium rosenbergii;Giant River Prawn;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;rosenbergii;;Crustaceans;Larva;;7;;;;;Stage;;Formulation;;159;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2015
50000;Formaldehyde;Macrobrachium rosenbergii;Giant River Prawn;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;rosenbergii;;Crustaceans;Larva;;11;;;;;Stage;;Formulation;;182;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2015
50000;Formaldehyde;Macrobrachium rosenbergii;Giant River Prawn;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;rosenbergii;;Crustaceans;Larva;;11;;;;;Stage;;Formulation;;182;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2015
50000;Formaldehyde;Macrobrachium rosenbergii;Giant River Prawn;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;rosenbergii;;Crustaceans;Larva;;11;;;;;Stage;;Formulation;;183;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2015
50000;Formaldehyde;Macrobrachium rosenbergii;Giant River Prawn;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;rosenbergii;;Crustaceans;Larva;;7;;;;;Stage;;Formulation;;166;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2015
50000;Formaldehyde;Macrobrachium rosenbergii;Giant River Prawn;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;rosenbergii;;Crustaceans;Larva;;4;;;;;Stage;;Formulation;;116;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2015
50000;Formaldehyde;Macrobrachium rosenbergii;Giant River Prawn;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;rosenbergii;;Crustaceans;Larva;;11;;;;;Stage;;Formulation;;191;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2015
50000;Formaldehyde;Macrobrachium rosenbergii;Giant River Prawn;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;rosenbergii;;Crustaceans;Larva;;7;;;;;Stage;;Formulation;;161;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2015
50000;Formaldehyde;Macrobrachium rosenbergii;Giant River Prawn;Animalia;Arthropoda;Crustacea;;Malacostraca;Decapoda;Palaemonidae;Macrobrachium;rosenbergii;;Crustaceans;Larva;;4;;;;;Stage;;Formulation;;147;;;;;AI mg/L;;;;;;;;;;;;;;;;;LC50;Water;2015
